Il	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=n
y	y	PROadv	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
a	avoir	VERcjg	MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s	GENRE=x	CAS=x
eu	avoir	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
en	en	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Allemagne	Allemagne	NOMpro	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
beaucoup	beaucoup	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
plus	plus	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
d'	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
hommes	homme	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
remarquables	remarquable	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=f	CAS=x
dans	dans	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
l'	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
école	école	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
anglaise	anglais	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
que	que	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
dans	dans	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
l'	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
école	école	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
française	français	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
.	.	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Parmi	parmi	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
les	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
écrivains	écrivain	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
formés	former	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
par	par	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
la	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
littérature	littérature	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
anglaise	anglais	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
il	il	PROimp	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=n
faut	falloir	VERcjg	MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s	GENRE=x	CAS=x
compter	compter	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
d'	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
abord	abord	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
cet	ce	DETdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
admirable	admirable	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
Haller	Haller	NOMpro	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
dont	dont	PROrel	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
le	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
génie	génie	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
poétique	poétique	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
le	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=r
servit	servir	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
si	si	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
efficacement	efficacement	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
comme	comme	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
savant	savant	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
en	en	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
lui	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=x	CAS=i
inspirant	inspirer	VERppa	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
plus	plus	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
d'	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
enthousiasme	enthousiasme	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
pour	pour	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
