form	lemma	POS	morph
CORNEILLEP_SUIVANTE_TRAIN	…	PONfrt	MORPH=empty
Ami	ami	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
beau	beau	ADVgen	MORPH=empty
rêver	rêver	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
toute	tout	DETind	NOMB.=s|GENRE=f
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
rêverie	rêverie	NOMcom	NOMB.=s|GENRE=f
Ne	ne	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rien	rien	PROind	NOMB.=s|GENRE=x
comprendre	comprendre	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
galanterie	galanterie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Auprès	auprès	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
maîtresse	maîtresse	NOMcom	NOMB.=s|GENRE=f
engager	engager	VERinf	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
ami	ami	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
à	à	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
jugement	jugement	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
aimer	aimer	VERinf	MORPH=empty
qu'	que	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
demi	demi	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ton	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
humeur	humeur	NOMcom	NOMB.=s|GENRE=f
qui	qui	PROrel	MORPH=empty
s'	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
en	en	PROadv	MORPH=empty
lasse	lasser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
changement	changement	NOMcom	NOMB.=s|GENRE=m
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
invite	inviter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
n'	ne	ADVneg	MORPH=empty
osant	oser	VERppa	NOMB.=x|GENRE=x
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
quitter	quitter	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
veux	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
qu'	que	CONsub	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
quitte	quitter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Ami	ami	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
n'	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
rêve	rêver	VERcjg	MODE=imp|PERS.=2|NOMB.=s
plus	plus	ADVgen	MORPH=empty
;	;	PONfbl	MORPH=empty
c'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	PROadv	MORPH=empty
juger	juger	VERinf	MORPH=empty
trop	trop	ADVgen	MORPH=empty
bien	bien	ADVgen	MORPH=empty
Pour	pour	PRE	MORPH=empty
t'	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
oser	oser	VERinf	MORPH=empty
plaindre	plaindre	VERinf	MORPH=empty
encor	encore	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
