Ami	ami
,	,
j'	je
ai	avoir
beau	beau
rêver	rêver
,	,
toute	tout
ma	mon
rêverie	rêverie
Ne	ne
me	je
fait	faire
rien	rien
comprendre	comprendre
en	en
ta	ton
galanterie	galanterie
.	.
Auprès	auprès
de	de
ta	ton
maîtresse	maître
engager	engager
un	un
ami	ami
,	,
C'	ce
est	être
,	,
à	à
mon	mon
jugement	jugement
,	,
ne	ne
l'	il
aimer	aimer
qu'	que
à	à
demi	demi
.	.
Ton	ton
humeur	humeur
qui	qui
s'	se
en	en
lasse	lasser
au	à_le
changement	changement
l'	il
invite	inviter
;	;
Et	et
n'	ne
osant	oser
la	il
quitter	quitter
,	,
tu	tu
veux	vouloir
qu'	que
elle	il
te	tu
quitte	quitter
.	.
Ami	ami
,	,
n'	ne
y	y
rêve	rêver
plus	plus
;	;
c'	ce
est	être
en	en
juger	juger
trop	trop
bien	bien
Pour	pour
t'	tu
oser	oser
plaindre	plaindre
encor	encore
de	de
n'	ne
y	y
comprendre	comprendre
rien	rien
.	.
Quelques	quelque
puissants	puissant
appas	appât
que	que
possède	posséder
Amarante	Amarante
,	,
Je	je
trouve	trouver
qu'	que
après	après
tout	tout
ce	ce
n'	ne
est	être
qu'	que
une	un
suivante	suivante
;	;
Et	et
je	je
ne	ne
puis	pouvoir
songer	songer
à	à
sa	son
condition	condition
Que	que
mon	mon
amour	amour
ne	ne
cède	céder
à	à
mon	mon
ambition	ambition
.	.
Ainsi	ainsi
,	,
malgré	malgré
l'	le
ardeur	ardeur
qui	qui
pour	pour
elle	il
me	je
presse	presser
,	,
À	à
la	le
fin	fin
j'	je
ai	avoir
levé	lever
les	le
yeux	œil
sur	sur
sa	son
maîtresse	maître
,	,
Où	où
mon	mon
dessein	dessein
,	,
plus	plus
haut	haut
et	et
plus	plus
laborieux	laborieux
,	,
Se	se
promet	promettre
des	un
succès	succès
beaucoup	beaucoup
plus	plus
glorieux	glorieux
.	.
Mais	mais
lors	lors
,	,
soit	soit
qu'	que
Amarante	Amarante
eût	avoir
pour	pour
moi	je
quelque	quelque
flamme	flamme
,	,
Soit	soit
qu'	que
elle	il
pénétrât	pénétrer
jusqu'	jusque
au	à_le
fond	fond
de	de
