form	lemma	POS	morph
SAULSAYE	saussaie	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
EGLOGUE	églogue	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
DE	de	PRE	MORPH=empty
LA	le	DETdef	NOMB.=s|GENRE=f
VIE	vie	NOMcom	NOMB.=s|GENRE=f
SOLITAIRE	solitaire	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
A	à	PRE	MORPH=empty
LYON	Lyon	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
Par	par	PRE	MORPH=empty
Jean	Jean	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Tournes	Tournes	NOMpro	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
1547	@card	PROcar	NOMB.=p|GENRE=x
.	.	PONfrt	MORPH=empty
SAULSAYE	saussaie	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
EGLOGUE	églogue	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
ANTIRE	Antire	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
PHILERME	Philerme	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Non	non	ADVneg	MORPH=empty
sans	sans	PRE	MORPH=empty
raison	raison	NOMcom	NOMB.=s|GENRE=f
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
resveillé	réveiller	VERppe	NOMB.=s|GENRE=m
Au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
premier	premier	ADJord	NOMB.=s|GENRE=m
somme	somme	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
fort	fort	ADVgen	MORPH=empty
esmerveillé	émerveiller	VERppe	NOMB.=s|GENRE=m
Oyant	ouïr	VERppa	NOMB.=x|GENRE=x
,	,	PONfbl	MORPH=empty
Philerme	Philerme	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
une	un	DETind	NOMB.=s|GENRE=f
voix	voix	NOMcom	NOMB.=s|GENRE=f
long	long	ADJqua	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
plaindre	plaindre	VERinf	MORPH=empty
Piteusement	piteusement	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
qui	qui	PROrel	MORPH=empty
sans	sans	PRE	MORPH=empty
point	point	ADVgen	MORPH=empty
se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
feindre	feindre	VERinf	MORPH=empty
Se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
lamentant	lamenter	VERppa	NOMB.=x|GENRE=x
monstroit	montrer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
complainte	complainte	NOMcom	NOMB.=s|GENRE=f
Une	un	DETind	NOMB.=s|GENRE=f
ame	âme	NOMcom	NOMB.=s|GENRE=f
triste	triste	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
douleur	douleur	NOMcom	NOMB.=s|GENRE=f
attainte	atteindre	VERppe	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
povois	pouvoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
en	en	ADVgen	MORPH=empty
sommeillant	sommeiller	VERppa	NOMB.=x|GENRE=x
comprendre	comprendre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=m
fust	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
toy	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=i
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m
entendre	entendre	VERinf	MORPH=empty
Par	par	PRE	MORPH=empty
tant	tant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
fois	fois	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
si	si	ADVgen	MORPH=empty
bien	bien	ADVgen	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
eusse	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
ouvert	ouvrir	VERppe	NOMB.=s|GENRE=m
l'	le	DETdef	NOMB.=s|GENRE=m
oeil	œil	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
es	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
congnu	connaître	VERppe	NOMB.=s|GENRE=m
plus	plus	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
toy	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=i
ce	ce	DETdem	NOMB.=s|GENRE=m
Soleil	soleil	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
mesmement	mêmement	ADVgen	MORPH=empty
dès	dès	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
soulois	souloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s
paistre	paître	VERinf	MORPH=empty
Sur	sur	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
montaigne	montagne	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
non	non	ADVgen	MORPH=empty
en	en	ADVgen	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
champestre	champêtre	ADJqua	NOMB.=s|GENRE=m
Lieu	lieu	NOMcom	NOMB.=s|GENRE=m
solitaire	solitaire	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ou	que	PROrel	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
Saulsaye	saussaie	NOMcom	NOMB.=s|GENRE=f
espaisse	épais	ADJqua	NOMB.=s|GENRE=f
Soubs	sous	PRE	MORPH=empty
doulce	doux	ADJqua	NOMB.=s|GENRE=f
horreur	horreur	NOMcom	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
mort	mort	NOMcom	NOMB.=s|GENRE=m
une	un	DETind	NOMB.=s|GENRE=f
espece	espèce	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Ou	que	PROrel	MORPH=empty
nul	nul	PROind	NOMB.=s|GENRE=m
(	(	PONpga	MORPH=empty
fors	fors	PRE	MORPH=empty
toy	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=i
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
desespoir	désespoir	NOMcom	NOMB.=s|GENRE=m
)	)	PONpdr	MORPH=empty
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
t'	le	PROper	
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
veu	voir	VERppe	NOMB.=s|GENRE=m
(	(	PONpga	MORPH=empty
&	et	CONcoo	MORPH=empty
tres	très	ADVgen	MORPH=empty
bien	bien	ADJqua	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
en	en	PROadv	MORPH=empty
souvient	souvenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
)	)	PONpdr	MORPH=empty
Quand	quand	CONsub	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
suyvois	suivre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s
Doris	Doris	NOMpro	NOMB.=s|GENRE=f
