token	lemma	POS	morph
Il	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=n
demande	demander	VERcjg	MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s	GENRE=x	CAS=x
vengeance	vengeance	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Il	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=n
l'	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=x	CAS=r
attend	attendre	VERcjg	MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s	GENRE=x	CAS=x
de	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
vos	votre	DETpos	MODE=x	TEMPS=x	PERS.=2	NOMB.=p	GENRE=f	CAS=x
mains	main	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=f	CAS=x
et	et	CONcoo	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
de	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
votre	votre	DETpos	MODE=x	TEMPS=x	PERS.=2	NOMB.=s	GENRE=f	CAS=x
vaillance	vaillance	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
;	;	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Entendez	entendre	VERcjg	MODE=ind	TEMPS=pst	PERS.=2	NOMB.=p	GENRE=x	CAS=x
-vous	vous	PROper	MODE=x	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
sa	son	DETpos	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=f	CAS=x
voix	voix	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
?	?	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Reveillez	réveiller	VERcjg	MODE=imp	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
-vous	vous	PROper	MODE=x	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Romains	romain	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Marchez	marcher	VERcjg	MODE=imp	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
suivez	suivre	VERcjg	MODE=imp	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
-moi	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=i
tous	tout	PROind	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
contre	contre	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
ses	son	DETpos	MODE=x	TEMPS=x	PERS.=3	NOMB.=p	GENRE=m	CAS=x
assasins	assassin	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
.	.	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Ce	ce	PROdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=n	CAS=x
sont	être	VERcjg	MODE=ind	TEMPS=pst	PERS.=3	NOMB.=p	GENRE=x	CAS=x
là	là	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
les	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
honneurs	honneur	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
qu'	que	PROrel	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=r
