token	lemma	POS	morph
Marianne	Marianne	NOMpro	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
courut	courir	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
et	et	CONcoo	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
arriva	arriver	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
la	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
première	premier	PROord	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
.	.	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Elle	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=f	CAS=n
tira	tirer	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
adroitement	adroitement	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
et	et	CONcoo	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
sans	sans	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
se	se	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=x	GENRE=x	CAS=x
piquer	piquer	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
le	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
gros	gros	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
fagot	fagot	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
d'	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
épines	épine	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
enjamba	enjamber	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
l'	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
échalier	échalier	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
et	et	CONcoo	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
sauta	sauter	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
légèrement	légèrement	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
